,state,city,status
0,AK,AKIACHAK,2
1,AK,ANCHORAGE,220
2,AK,"ANCHORAGE,",1
3,AK,BARROW,4
4,AK,BETHEL,6
5,AK,BETTLES FIELD,1
6,AK,CORDOVA,2
7,AK,FAIRBANK,1
8,AK,FAIRBANKS,84
9,AK,HOMER,1
10,AK,JUNEAU,17
11,AK,KENAI,5
12,AK,KETCHIKAN,11
13,AK,KODIAK,2
14,AK,KOTZEBUE,3
15,AK,MOUNTAIN VILLAGE,1
16,AK,NOME,1
17,AK,NORTH POLE,1
18,AK,PALMER,9
19,AK,SEWARD,1
20,AK,SITKA,4
21,AK,SKAGWAY,2
22,AK,SOLDOTNA,1
23,AK,SUITE 1108,2
24,AK,SUITE 1232,1
25,AK,UNALASKA,1
26,AK,WASILLA,4
27,AK,WRANGELL,2
28,AL,.GADSDEN,1
29,AL,ADAMSVILLE,2
30,AL,ALABASTER,2
31,AL,ALBERTVILLE,20
32,AL,ALEXANDER CITY,40
33,AL,ANDALUSIA,3
34,AL,ANNISTON,44
35,AL,ARAB,3
36,AL,ASHFORD,5
37,AL,ASHLAND,1
38,AL,ATHENS,29
39,AL,ATMORE,14
40,AL,AUBRUN,1
41,AL,AUBURN,437
42,AL,AUBURN UNIVERSITY,1
43,AL,BAY MINETTE,1
44,AL,BAYOU LA BATRE,8
45,AL,BESSEMER,7
46,AL,BESTAVIA HILLS,1
47,AL,BIRINGHAM,9
48,AL,BIRMINGAHM,27
49,AL,BIRMINGHAM,1990
50,AL,BOAZ,1
51,AL,BRANTLEY,6
52,AL,BRIDGEPORT,2
53,AL,BRIMINGHAM,1
54,AL,BRUNDIDGE,1
55,AL,BURMINGHAM,1
56,AL,CALERA,1
57,AL,CALVERT,126
58,AL,CENTRE,1
59,AL,CENTREVILLE,1
60,AL,CHATOM,2
61,AL,CHELSEA,1
62,AL,CHEROKEE,1
63,AL,CHILDERSBURG,1
64,AL,CLANTON,7
65,AL,COLUMBIA,1
66,AL,COLUMBIANA,2
67,AL,CULLMAN,16
68,AL,CUSSETA,33
69,AL,DADEVILLE,39
70,AL,DALEVILLE,1
71,AL,DAPHNE,7
72,AL,DECATUR,48
73,AL,DEMOPOLIS,1
74,AL,DOTHAN,73
75,AL,EASTABOGA,3
76,AL,EIGHT MILE,2
77,AL,ELBA,7
78,AL,ELKMONT,3
79,AL,ENSLEY,1
80,AL,ENTERPRISE,47
81,AL,EUFAULA,18
82,AL,FAIRFIELD,2
83,AL,FAIRHOPE,1
84,AL,FLORENCE,60
85,AL,FOLEY,3
86,AL,FORT DEPOSIT,12
87,AL,FORT PAYNE,3
88,AL,GADSDEN,44
89,AL,GEORGIANA,1
90,AL,GREENVILLE,51
91,AL,GULF SHORES,6
92,AL,GUNTERSVILLE,4
93,AL,HALEYVILLE,2
94,AL,HANCEVILLE,1
