,state,status,latlon,lat,lon
0,AK,2,"(60.920213, -161.402815874366)",60.920213,-161.402815874
1,AK,220,"(61.2163129, -149.8948523)",61.2163129,-149.8948523
27,AK,2,"(56.4708333, -132.3766667)",56.4708333,-132.3766667
26,AK,4,"(61.5828234, -149.4380985)",61.5828234,-149.4380985
25,AK,1,"(53.8722824, -166.5272262)",53.8722824,-166.5272262
22,AK,1,"(60.4847228, -151.0653495)",60.4847228,-151.0653495
21,AK,2,"(59.4583333, -135.3138891)",59.4583333,-135.3138891
20,AK,4,"(57.0524973, -135.3376124)",57.0524973,-135.3376124
19,AK,1,"(60.104202, -149.4426113)",60.104202,-149.4426113
18,AK,9,"(61.5995703, -149.1110902)",61.5995703,-149.1110902
17,AK,1,"(64.750997, -147.349319)",64.750997,-147.349319
16,AK,1,"(64.4989922, -165.398799443163)",64.4989922,-165.398799443
15,AK,1,"(62.0855556, -163.7294444)",62.0855556,-163.7294444
13,AK,2,"(57.79, -152.4072222)",57.79,-152.4072222
14,AK,3,"(66.8982057, -162.5977621)",66.8982057,-162.5977621
2,AK,1,"(61.2163129, -149.8948523)",61.2163129,-149.8948523
3,AK,4,"(71.3864521, -156.4821312)",71.3864521,-156.4821312
4,AK,6,"(60.7922222, -161.7558333)",60.7922222,-161.7558333
6,AK,2,"(60.5439444, -145.7589103)",60.5439444,-145.7589103
8,AK,84,"(64.837845, -147.716675)",64.837845,-147.716675
9,AK,1,"(59.6440876, -151.5401477)",59.6440876,-151.5401477
10,AK,17,"(58.3019496, -134.419734)",58.3019496,-134.419734
11,AK,5,"(60.5544444, -151.2583333)",60.5544444,-151.2583333
12,AK,11,"(55.3430696, -131.6466819)",55.3430696,-131.6466819
126,AL,8,"(33.1006746, -86.8641558)",33.1006746,-86.8641558
131,AL,1,"(31.0851775, -88.0133325)",31.0851775,-88.0133325
127,AL,655,"(32.3669656, -86.3006485)",32.3669656,-86.3006485
128,AL,2,"(36.538324, -89.14835)",36.538324,-89.14835
129,AL,27,"(33.5909365, -86.4908168)",33.5909365,-86.4908168
130,AL,1,"(32.3626393, -86.1019068)",32.3626393,-86.1019068
132,AL,2,"(33.5009384, -86.7522107)",33.5009384,-86.7522107
139,AL,204,"(32.72667, -85.3924930459184)",32.72667,-85.3924930459
134,AL,5,"(34.7451786, -87.6686733)",34.7451786,-87.6686733
